location_id,location_id_num
3fd66200f964a52000e71ee3,2
3fd66200f964a52001e81ee3,3
3fd66200f964a52003e71ee3,4
3fd66200f964a52004e41ee3,5
3fd66200f964a52004e61ee3,6
3fd66200f964a52005eb1ee3,7
3fd66200f964a52008e91ee3,8
3fd66200f964a52008f11ee3,9
3fd66200f964a52009e61ee3,10
3fd66200f964a5200ae51ee3,11
3fd66200f964a5200ae61ee3,12
3fd66200f964a5200ae71ee3,13
3fd66200f964a5200ae91ee3,14
3fd66200f964a5200ce91ee3,15
3fd66200f964a5200de71ee3,16
3fd66200f964a5200fe41ee3,17
3fd66200f964a52014e71ee3,18
3fd66200f964a52014eb1ee3,19
3fd66200f964a52015e91ee3,20
3fd66200f964a52016e51ee3,21
3fd66200f964a52017e31ee3,22
3fd66200f964a52019eb1ee3,23
3fd66200f964a5201deb1ee3,24
3fd66200f964a5201fe51ee3,25
3fd66200f964a52020e31ee3,26
3fd66200f964a52020e71ee3,27
3fd66200f964a52020e81ee3,28
3fd66200f964a52021e41ee3,29
3fd66200f964a52023e41ee3,30
3fd66200f964a52023e81ee3,31
3fd66200f964a52024e41ee3,32
3fd66200f964a52025e41ee3,33
3fd66200f964a52028e41ee3,34
3fd66200f964a52029e61ee3,35
3fd66200f964a5202be41ee3,36
3fd66200f964a5202ee61ee3,37
3fd66200f964a5202ee81ee3,38
3fd66200f964a5202fe41ee3,39
3fd66200f964a52032e91ee3,40
3fd66200f964a52034e81ee3,41
3fd66200f964a52034ea1ee3,42
3fd66200f964a52035e41ee3,43
3fd66200f964a52036e41ee3,44
3fd66200f964a52036e71ee3,45
3fd66200f964a52036ea1ee3,46
3fd66200f964a52036eb1ee3,47
3fd66200f964a52037e31ee3,48
3fd66200f964a52038e41ee3,49
3fd66200f964a52038eb1ee3,50
3fd66200f964a5203be71ee3,51
3fd66200f964a5203ee41ee3,52
3fd66200f964a5203ee71ee3,53
3fd66200f964a52040e81ee3,54
3fd66200f964a52042e31ee3,55
3fd66200f964a52042e81ee3,56
3fd66200f964a52044e31ee3,57
3fd66200f964a52044e61ee3,58
3fd66200f964a52044e81ee3,59
3fd66200f964a52044eb1ee3,60
3fd66200f964a52046e71ee3,61
3fd66200f964a52047e51ee3,62
3fd66200f964a52047e71ee3,63
3fd66200f964a52048e81ee3,64
3fd66200f964a52048ee1ee3,65
3fd66200f964a52049e81ee3,66
3fd66200f964a5204de71ee3,67
3fd66200f964a5204ee41ee3,68
3fd66200f964a5204fe71ee3,69
3fd66200f964a52053eb1ee3,70
3fd66200f964a52054e91ee3,71
3fd66200f964a52056e71ee3,72
3fd66200f964a52056ee1ee3,73
3fd66200f964a52057e91ee3,74
3fd66200f964a52058e41ee3,75
3fd66200f964a5205ae91ee3,76
3fd66200f964a5205de41ee3,77
3fd66200f964a5205deb1ee3,78
3fd66200f964a5205fe41ee3,79
3fd66200f964a52060e81ee3,80
3fd66200f964a52061e41ee3,81
3fd66200f964a52062e61ee3,82
3fd66200f964a52065ea1ee3,83
3fd66200f964a52065eb1ee3,84
3fd66200f964a52067e61ee3,85
3fd66200f964a52067e71ee3,86
3fd66200f964a52067e81ee3,87
3fd66200f964a52069e71ee3,88
3fd66200f964a5206ae51ee3,89
3fd66200f964a5206ce41ee3,90
3fd66200f964a5206ceb1ee3,91
3fd66200f964a5206de71ee3,92
3fd66200f964a5206de91ee3,93
3fd66200f964a5206ee61ee3,94
3fd66200f964a5206fe71ee3,95
3fd66200f964a52070e91ee3,96
3fd66200f964a52073e81ee3,97
3fd66200f964a52074e51ee3,98
3fd66200f964a52074e71ee3,99
3fd66200f964a52074e81ee3,100
3fd66200f964a5207eea1ee3,101
3fd66200f964a52080e81ee3,102
3fd66200f964a52081e71ee3,103
3fd66200f964a52084e51ee3,104
3fd66200f964a52084ea1ee3,105
